Id,Sales
1,5348
2,5851
3,9807
4,5405
5,7494
6,6024
7,5900
8,6951
9,7780
10,5056
11,6624
12,6878
13,6082
14,9906
15,6785
16,7046
17,4941
18,9773
19,9767
20,8645
21,8431
22,4156
23,6065
24,6993
25,8154
26,11241
27,14145
28,6163
29,4865
30,4704
31,8237
32,9654
33,6173
34,5917
35,7948
36,6085
37,3833
38,8441
39,4824
40,10201
41,8713
42,4612
43,9576
44,9208
45,5292
46,5906
47,8240
48,13450
49,6690
50,8368
51,7675
52,9778
53,7251
54,8781
55,5183
56,4263
57,5251
58,6290
59,10448
60,9106
61,5587
62,8826
63,10943
64,8371
65,4452
66,14011
67,4420
68,7862
69,7715
70,4994
71,6366
72,5625
73,7485
74,5856
75,7672
76,11829
77,7574
78,6160
79,4487
80,7526
81,17278
82,5553
83,4707
84,7458
85,6270
86,7979
87,12509
88,4335
89,8931
90,5151
91,7601
92,13980
93,4387
94,5356
95,6571
96,9220
97,10446
98,5259
99,4563
100,10222
101,6471
102,7812
103,8293
104,8542
105,7175
106,5427
107,4675
108,5800
109,9496
110,9705
111,8714
112,8564
113,7668
114,9636
115,5329
116,6120
117,10035
118,8958
119,9610
120,8220
121,9055
122,6183
123,6870
124,9170
125,6840
126,6430
127,5106
128,7196
129,5492
130,4561
131,7598
132,9442
133,8505
134,5526
135,5006
136,6747
137,6757
138,6229
139,6344
140,6832
141,6303
142,6474
143,5683
144,5585
145,7713
146,10141
147,9860
148,18332
149,5201
150,5699
151,11387
152,6390
153,8688
154,6431
155,6489
156,7254
157,7529
158,6698
159,12136
160,9209
161,3523
162,4215
163,9829
164,10499
165,8831
166,6741
167,4796
168,6678
169,4121
170,5032
171,6370
172,8311
173,6742
174,5595
175,8430
176,9152
177,6638
178,7931
179,11033
180,11143
181,5875
182,6143
183,5334
184,6438
185,5034
186,6994
187,5755
188,10147
189,6601
190,8965
191,7750
192,5427
193,10038
194,18949
195,11913
196,5625
197,3781
198,6364
199,7325
200,7868
201,8588
202,12058
203,7063
204,4838
205,11472
206,4550
207,7107
208,6510
209,7255
210,8353
211,9608
212,7948
213,6282
214,14230
215,6841
216,6207
217,10659
218,7892
219,5918
220,12153
221,8059
222,6172
223,6302
224,5955
225,6301
226,7268
227,6626
228,11919
229,15128
230,8029
231,5004
232,4913
233,5473
234,6194
235,6771
236,6542
237,8015
238,6674
239,13355
240,7009
241,6037
242,5179
243,4386
244,11459
245,8699
246,6573
247,16910
248,7635
249,5580
250,6002
251,4511
252,6609
253,4459
254,4572
255,9719
256,5423
257,15285
258,14527
259,6666
260,7115
261,4585
262,5921
263,5594
264,15821
265,7288
266,9352
267,6776
268,7139
269,5946
270,12164
271,7996
272,6666
273,6467
274,8441
275,9265
276,8418
277,6549
278,10958
279,6945
280,10228
281,4424
282,7888
283,5281
284,12351
285,7329
286,8258
287,7116
288,9566
289,5123
290,7371
291,6222
292,4409
293,15152
294,17536
295,10451
296,7246
297,9800
298,10393
299,10216
300,5337
301,6540
302,6266
303,10322
304,4322
305,5518
306,5710
307,7994
308,6970
309,4631
310,5070
311,7770
312,6902
313,5356
314,6468
315,6283
316,11238
317,14767
318,8676
319,8069
320,5891
321,12156
322,5834
323,5443
324,7951
325,11479
326,4414
327,6662
328,4074
329,4782
330,9101
331,9540
332,7952
333,12828
334,10454
335,12503
336,7602
337,13780
338,3754
339,4747
340,6418
341,5166
342,9832
343,5024
344,4932
345,7943
346,10876
347,11443
348,6399
349,4665
350,15393
351,7658
352,5278
353,8051
354,8759
355,8154
356,5365
357,5201
358,9282
359,6387
360,14135
361,6546
362,13345
363,10067
364,4771
365,4023
366,6222
367,8986
368,6287
369,8631
370,8367
371,4775
372,7824
373,4057
374,11369
375,7530
376,8185
377,8691
378,5935
379,9281
380,9408
381,5698
382,9602
383,6774
384,10777
385,6021
386,4465
387,6945
388,8940
